"","sim","mean_kappa","mean_accuracy","mean_mae","mean_rho","mean_tau"
"1",1,0.0180668339246744,0.345911949685535,0.858490566037736,0.0243293104656014,0.0215409739571882
"2",2,-0.0732142727556403,0.284603421461897,0.931570762052877,-0.0576339317025578,-0.0506754436801966
"3",3,-0.0374826977582154,0.310452418096724,0.903276131045242,-0.0519389768956595,-0.0461370625403348
"4",4,-0.0162300725993563,0.322274881516588,0.913112164296998,-0.0428059873423357,-0.0381096483231933
"5",5,-0.0224950805625948,0.318818040435459,0.888024883359253,0.00565901943233241,0.00499635092363474
"6",6,-0.000662719802067617,0.332288401253919,0.882445141065831,0,0
"7",7,-0.047320642232911,0.301109350237718,0.93026941362916,-0.055171869315566,-0.0489365280002237
"8",8,-0.0328888428191706,0.312401883830455,0.896389324960754,-0.0204826525325368,-0.0178744150397617
"9",9,-0.0206645385312918,0.31974921630094,0.896551724137931,-0.0221838400208358,-0.0195903375006561
"10",10,0.00439628001377769,0.337519623233909,0.879120879120879,-0.00822131999429011,-0.00731946626427715
"11",11,-0.00719025329384885,0.328638497652582,0.868544600938967,0.020677132409208,0.0183785499277217
"12",12,0.00853323567112249,0.3390625,0.8625,0.0143032580736644,0.0126595786376509
"13",13,0.000428295568248532,0.332810047095761,0.874411302982732,0.0347316068855287,0.0307803923205656
"14",14,-0.0248143479214776,0.316535433070866,0.91496062992126,-0.0507721912633721,-0.0451972845297519
"15",15,-0.0228804842493174,0.318681318681319,0.905808477237049,-0.0419905311077936,-0.0372644197369739
"16",16,0.0270084466294046,0.350850077279753,0.839258114374034,0.073534377655112,0.0653894529969529
"17",17,0.0122080873996407,0.3421875,0.846875,0.0483045192279654,0.0428995331136995
"18",18,-0.0140039304170609,0.32398753894081,0.862928348909657,0.0416143235484025,0.0366747464995771
"19",19,0.0204213155032827,0.346875,0.8671875,0.0156819569773579,0.0137877987649289
"20",20,-0.0347648261758691,0.316770186335404,0.869565217391304,-0.028482590994587,-0.0252160303834104
"21",21,0.0233360064153969,0.34789391575663,0.840873634945398,0.0857750515160007,0.0756785008336734
"22",22,0.0822067528809406,0.3890625,0.80625,0.0695811742053773,0.0626683239385655
"23",23,-0.00891287146122731,0.325508607198748,0.89358372456964,-0.0171959222496449,-0.0154463171166004
"24",24,-0.0346525383590162,0.309859154929577,0.870109546165884,0.0425322270950271,0.0374036608594376
"25",25,-0.0415557204592082,0.305295950155763,0.903426791277259,-0.0209683013381358,-0.018423160750719
"26",26,-0.00554609728717037,0.329133858267717,0.88503937007874,0.014557170830754,0.0129124027117082
"27",27,0.0303940743825622,0.355345911949686,0.838050314465409,0.0282612455178017,0.0245768904140717
"28",28,-0.054191736863217,0.296411856474259,0.925117004680187,-0.0416123108205983,-0.0366944438409189
"29",29,-0.0369094612832378,0.309006211180124,0.903726708074534,-0.0244552627387999,-0.0217605478376937
"30",30,-0.000833576911002064,0.333333333333333,0.871317829457364,-0.000360939161542083,-0.000433718297403811
