"","sim","mean_kappa","mean_accuracy","mean_mae","mean_rho","mean_tau"
"1",1,0.0234690409278188,0.347753743760399,0.866888519134775,0.0330447520099783,0.0294664969464479
"2",2,-0.0368249673593305,0.305194805194805,0.928571428571429,-0.0180916249737347,-0.0160414779334546
"3",3,0.0328419023788189,0.362270450751252,0.791318864774624,0.0641022543111509,0.057110063155605
"4",4,-0.0300749437718722,0.311367380560132,0.939044481054366,-0.0538313087975928,-0.0479981284287809
"5",5,-0.034003296437192,0.311290322580645,0.895161290322581,-0.0493079301689456,-0.0438056769218732
"6",6,-0.0341914578863247,0.310569105691057,0.910569105691057,-0.0230660068853935,-0.0204018450429901
"7",7,0.0056797645479424,0.331632653061224,0.908163265306122,0.00097665150465465,0.000967996357039762
"8",8,-0.0115595525334503,0.328660436137072,0.906542056074766,-0.0879231340131786,-0.0791601439736287
"9",9,0.0189878835513568,0.34621578099839,0.856682769726248,0.0313708817670817,0.0278276617573794
"10",10,0.000525787486257866,0.330065359477124,0.906862745098039,-0.0197883010319301,-0.01759277644964
"11",11,-0.0128327798727979,0.322950819672131,0.901639344262295,-0.0137622549651222,-0.0123393229844123
"12",12,-0.0162983726805032,0.322742474916388,0.859531772575251,0.0222417480201843,0.0197103648549356
"13",13,-0.0388063921955205,0.307443365695793,0.912621359223301,-0.0240123023545159,-0.0212210152417464
"14",14,-0.0111046267908368,0.323383084577114,0.90547263681592,-0.00531266344597584,-0.00463887438327677
"15",15,-0.0500633333732913,0.302931596091205,0.91042345276873,-0.0588814741677929,-0.0519969053519638
"16",16,-0.0045376497444335,0.333333333333333,0.848780487804878,0.0151643994667716,0.0134462840256784
"17",17,0.0346271106941839,0.355411954765751,0.835218093699515,0.0549385502182526,0.048861909258571
"18",18,0.0233354212464442,0.34640522875817,0.883986928104575,-0.00727038243924823,-0.00646124719174534
"19",19,-0.00754920892237034,0.327361563517915,0.905537459283388,-0.0309853233200183,-0.0274600518865883
"20",20,-0.00740063524089504,0.326298701298701,0.900974025974026,-0.0403318856122974,-0.0359868331428666
"21",21,-0.0215830746997086,0.318181818181818,0.896103896103896,0.00969652807594496,0.00861497556362025
"22",22,0.0166901191497157,0.346089850249584,0.851913477537438,0.00701047873158197,0.00620099662614982
"23",23,0.00925507900677195,0.340495867768595,0.859504132231405,0.0159116862716531,0.0141574330429954
"24",24,-0.050935649107974,0.298093587521664,0.930675909878683,-0.037572578443875,-0.0331980299354774
"25",25,-0.0306101693448221,0.311224489795918,0.94047619047619,-0.0616858231331416,-0.0549394312256893
"26",26,-0.00669134981450276,0.329652996845426,0.889589905362776,0.0038608066328212,0.00335140930469577
"27",27,0.016665892948331,0.345104333868379,0.886035313001605,-0.0300656143074728,-0.0270189134503354
"28",28,-0.0193421333210686,0.320534223706177,0.89983305509182,-0.000795995707558772,-0.000585749712666913
"29",29,-0.0540118818183426,0.298456260720412,0.957118353344768,-0.0773386630802888,-0.0684691573579528
"30",30,-0.0605125452837782,0.294407894736842,0.935855263157895,-0.0998452857097244,-0.0889003639513666
