"","sim","mean_kappa","mean_accuracy","mean_mae","mean_rho","mean_tau"
"1",1,-0.0593520831654445,0.29344262295082,0.934426229508197,-0.0365499822370659,-0.0321215824065043
"2",2,0.0184074320932797,0.346026490066225,0.864238410596026,0.0140840025166315,0.0125378890859389
"3",3,-0.0694071189601273,0.287560581583199,0.977382875605816,-0.0911273531714007,-0.0804695944803244
"4",4,0.0492442593741867,0.366013071895425,0.84640522875817,0.0107022455473505,0.00962049681232512
"5",5,0.00932348685038382,0.34248788368336,0.862681744749596,-0.026586547919865,-0.0238263729848473
"6",6,-0.0106391028648394,0.326984126984127,0.874603174603175,0.0110257241360768,0.00976714430740483
"7",7,-0.066687498372523,0.289115646258503,0.921768707482993,-0.0527169503041091,-0.0464892776654912
"8",8,-0.0458029476819307,0.302652106084243,0.895475819032761,-0.0376216448797505,-0.0333039114496472
"9",9,0.00110205487314891,0.333865814696486,0.904153354632588,-0.0288903034259071,-0.0255854400492415
"10",10,-0.0273595210162224,0.315270935960591,0.896551724137931,-0.00573689369941478,-0.00487194985861403
"11",11,0.0303071457977005,0.354621848739496,0.858823529411765,0.0300578318230418,0.0269463763499126
"12",12,-0.003201756202626,0.329450915141431,0.878535773710483,0.0106253009425553,0.00943771374940071
"13",13,-0.0290309447962965,0.31438127090301,0.897993311036789,-0.00461352227963316,-0.00418164126479131
"14",14,-0.0108025323297926,0.325619834710744,0.902479338842975,-0.011340304307512,-0.0100812159998728
"15",15,0.00692876911299982,0.3354943273906,0.886547811993517,-0.00188491083118345,-0.00168655601458834
"16",16,-0.0393537190486666,0.305280528052805,0.920792079207921,-0.0182866671158025,-0.0163813558902251
"17",17,-0.0385839459359793,0.312703583061889,0.868078175895766,-0.0285396796143054,-0.025347113975005
"18",18,0.0381197196799417,0.358803986710963,0.848837209302326,0.0439634315322263,0.0393004349189381
"19",19,-0.0202821362920169,0.320661157024793,0.905785123966942,-0.0469079301750059,-0.0417732279630742
"20",20,0.021241593078042,0.346089850249584,0.89018302828619,0.000410848279606162,0.000368122543294333
"21",21,0.0133982947624848,0.342532467532468,0.86525974025974,-0.00512831257069151,-0.00449777461200774
"22",22,-0.0130582300943118,0.321724709784411,0.895522388059702,-0.0351708136660978,-0.0313929850901431
"23",23,0.00800230209007774,0.344481605351171,0.834448160535117,-0.0285266070981537,-0.025633020495208
"24",24,0.0565948161343571,0.371379897785349,0.831345826235094,0.0656119745720002,0.0586639973536325
"25",25,0.0280562788560425,0.353242320819113,0.895904436860068,0.0168167756027661,0.015221940356975
"26",26,-0.00556674755429389,0.333863275039746,0.885532591414944,-0.0545540941482997,-0.0485420028180622
"27",27,0.0279651446709803,0.349840255591054,0.878594249201278,0.0344030320740679,0.0311306202429019
"28",28,0.00451224167075623,0.337391304347826,0.904347826086957,-0.0311113183182831,-0.0278158105038926
"29",29,0.042282918016829,0.35958904109589,0.823630136986301,0.0893220542622152,0.0795384286191406
"30",30,-0.0288185921971817,0.315878378378378,0.893581081081081,-0.0227517068847641,-0.0202519879287869
