"","sim","mean_kappa","mean_accuracy","mean_mae","mean_rho","mean_tau"
"1",1,0.0243642183887605,0.350769230769231,0.850769230769231,0.00226823164175622,0.00204075453462101
"2",2,0.00452299097550498,0.344086021505376,0.823348694316436,0.0126167339808576,0.0112812539242139
"3",3,-0.00430970426512117,0.33026113671275,0.883256528417819,-0.0144882172033136,-0.0128083147904047
"4",4,-0.000689070285169125,0.331797235023041,0.863287250384025,0.00419142237092155,0.00375689665967069
"5",5,0.0149571814717071,0.345622119815668,0.847926267281106,0.000782869438092866,0.000770401694017535
"6",6,-0.0136362018015452,0.326153846153846,0.88,-0.047072960226423,-0.0421375845145111
"7",7,0.0252391664400663,0.348694316436252,0.844854070660522,0.0271089974213283,0.024228513924331
"8",8,0.0103017158895196,0.341013824884793,0.855606758832565,0.00696616274491816,0.00619391380726384
"9",9,0.0282009494792035,0.350769230769231,0.886153846153846,-0.0333331055598628,-0.0297380319784101
"10",10,0.0151146352611048,0.344086021505376,0.837173579109063,0.00391341864841637,0.00367857000505785
"11",11,-0.00276194978725526,0.332307692307692,0.873846153846154,-0.0206271506155772,-0.0183973771344167
"12",12,0.0105331405977638,0.341013824884793,0.863287250384025,-0.0216846511562022,-0.0193992335570732
"13",13,0.0519194061505832,0.367127496159754,0.847926267281106,0.015792999042334,0.0141459241545044
"14",14,0.0202606505311576,0.345622119815668,0.832565284178187,0.0604283250082088,0.0537886768507402
"15",15,0.0510406026557712,0.368663594470046,0.794162826420891,0.11146924456962,0.0990599905146646
"16",16,-0.0199819216249268,0.321044546850998,0.912442396313364,-0.0928037121377697,-0.083033049234949
"17",17,0.0131077174125118,0.341538461538462,0.846153846153846,0.0410765624062166,0.0365245228105125
"18",18,0.027860738970902,0.354838709677419,0.827956989247312,0.0287216581599446,0.0256580357430007
"19",19,-0.0324279379157429,0.312307692307692,0.889230769230769,-0.00738327026838593,-0.00648880106090274
"20",20,0.0308276353427833,0.354838709677419,0.835637480798771,0.0257409630547468,0.0228840666658762
"21",21,0.0371670224820878,0.358461538461538,0.856923076923077,-0.0247668492760747,-0.0220455827476916
"22",22,0.0432692990806917,0.36055469953775,0.841294298921418,0.0180166088780665,0.0162766428474182
"23",23,0.0226817264454909,0.348694316436252,0.835637480798771,0.0494660731810432,0.0442169325705257
"24",24,0.0119581997810873,0.342064714946071,0.852080123266564,0.0196891712802115,0.017394554071379
"25",25,0.0119346733668342,0.338983050847458,0.865947611710324,0.0137737680567528,0.0123383031667967
"26",26,0.0651102556369636,0.37442218798151,0.830508474576271,0.0154288251383888,0.0140297681841317
"27",27,0.0140275685905531,0.347692307692308,0.826153846153846,0.0273648028962919,0.024394103152221
"28",28,0.0319410581007847,0.356374807987711,0.791090629800307,0.125691134531932,0.111228761270999
"29",29,0.0218681192988476,0.352307692307692,0.832307692307692,0.0152627168489731,0.0135407894193884
"30",30,-0.0408279951294403,0.304147465437788,0.898617511520737,-0.034945873943106,-0.0309611104523144
