"","sim","mean_kappa","mean_accuracy","mean_mae","mean_rho","mean_tau"
"1",1,-0.0536999891153924,0.308306709265176,0.833865814696486,-0.0303069879600182,-0.028577120257853
"2",2,0.0233425046596254,0.362012987012987,0.787337662337662,-0.00601262630058247,-0.00566993678964146
"3",3,-0.0181221119027201,0.335504885993485,0.809446254071661,-0.00389837431831966,-0.00367736006570475
"4",4,0.00832382021167494,0.337620578778135,0.810289389067524,0.0392283051329675,0.0369918756651756
"5",5,-0.00615190018973154,0.328,0.84,-0.0218776623821114,-0.0206266242442661
"6",6,0.0152455567861682,0.353125,0.8046875,-0.0260648778147515,-0.0245781092939454
"7",7,-0.027597160867623,0.316749585406302,0.85240464344942,-0.0827286067035436,-0.0780251487844958
"8",8,0.00554895814388064,0.333848531684699,0.823802163833076,0.0190993712168615,0.0180094262797412
"9",9,-0.0264605652100239,0.315372424722662,0.832012678288431,0.00946236850502093,0.00892124314758064
"10",10,0.010158909462822,0.329581993569132,0.829581993569132,0.0340417757456568,0.0321098832021729
"11",11,-0.0130507084779793,0.329617834394904,0.812101910828026,0.0311254809371275,0.0293514761035736
"12",12,0.041386333054515,0.368678629690049,0.765089722675367,0.108940122883034,0.10272501018105
"13",13,-0.0472818824440787,0.303370786516854,0.849117174959872,-0.0316329100919596,-0.0298298782505225
"14",14,0.0158852524119887,0.338187702265372,0.822006472491909,0.0165776463812092,0.0156360311061027
"15",15,0.013071573402058,0.34181240063593,0.809220985691574,0.048306351050581,0.0455510958175884
"16",16,-0.000856363482003475,0.32755905511811,0.834645669291339,0.00810235312357134,0.00763973221135768
"17",17,-0.0403766097342724,0.302100161550889,0.867528271405493,-0.0590267694930424,-0.0556532600483672
"18",18,0.00112586818024761,0.324149108589951,0.847649918962723,-0.0202149828224193,-0.0190609530474561
"19",19,0.000599188269476498,0.318910256410256,0.858974358974359,-0.0214230358785788,-0.0202033174737587
"20",20,-0.047754053335696,0.294685990338164,0.8743961352657,-0.0561967177731061,-0.0529918053522679
"21",21,-0.0148216767021769,0.329073482428115,0.824281150159744,-0.0227060314887182,-0.0214082237677355
"22",22,-0.0129481780123543,0.329450915141431,0.8369384359401,-0.0527660402323121,-0.0497581577616649
"23",23,-0.0138452533119901,0.326829268292683,0.808130081300813,0.0617225833321218,0.0582082777508215
"24",24,0.0359492500263647,0.363338788870704,0.792144026186579,0.00928253881034004,0.00875341421022115
"25",25,0.00749225906852122,0.330592105263158,0.832236842105263,0.00906784836185125,0.0085503216932716
"26",26,-0.024412422033626,0.312989045383412,0.835680751173709,0.0126356229206197,0.011913185126682
"27",27,0.029222529331483,0.354066985645933,0.79585326953748,0.0408945964042923,0.0385565624120005
"28",28,0.0475710630194593,0.363192182410423,0.801302931596091,0.01742696505108,0.0164303707302433
"29",29,0.027528913503828,0.336666666666667,0.835,0.0198395559265005,0.0187132042256874
"30",30,0.042472478429039,0.383360522022838,0.763458401305057,0.00364982378874027,0.00344366819024356
