"","sim","mean_kappa","mean_accuracy","mean_mae","mean_rho","mean_tau"
"1",1,0.0771101367114773,0.380191693290735,0.777955271565495,0.0627144147952341,0.0591328812705416
"2",2,-0.00782394798600199,0.328050713153724,0.822503961965135,-0.0125035930586422,-0.0117902541030784
"3",3,-0.026835626139497,0.315372424722662,0.832012678288431,-0.00845577316728153,-0.00797224979639062
"4",4,0.0198414059314638,0.356012658227848,0.79746835443038,-0.0298198736191549,-0.0281173690912632
"5",5,0.00032007622280274,0.32753164556962,0.832278481012658,-0.0268536588876794,-0.0253206352948891
"6",6,0.0262088191527435,0.352848101265823,0.799050632911392,0.0135142619375921,0.0127475957798181
"7",7,0.0477901081734311,0.359055118110236,0.796850393700787,0.00912988504829744,0.00860814917255679
"8",8,0.0027153836193436,0.342313787638669,0.809825673534073,-0.0233535635975167,-0.0220203958574294
"9",9,-0.00901278877730441,0.314009661835749,0.84219001610306,0.0163584410613881,0.0154282672982775
"10",10,0.000633750072017068,0.344444444444444,0.788888888888889,0.0427050236211909,0.040284796990767
"11",11,-0.0078003120124805,0.335453100158982,0.809220985691574,0.0146922961419629,0.0138529820851995
"12",12,0.00492610837438421,0.354632587859425,0.792332268370607,-0.0337480125359081,-0.0318303352784647
"13",13,-0.0155474307607844,0.323671497584541,0.837359098228664,-0.0554122582730123,-0.0522451341657844
"14",14,-0.00477703366780179,0.331210191082803,0.818471337579618,0.00132229977924463,0.00124711973386229
"15",15,0.00192959463228806,0.350157728706625,0.785488958990536,-0.00318246327358088,-0.00300149066792795
"16",16,0.064758898343856,0.379968203497615,0.766295707472178,0.0579244128543195,0.0546357278488237
"17",17,0.0074761576423375,0.35031847133758,0.785031847133758,0.0349172348036809,0.0329260415882041
"18",18,0.0418250950570342,0.365079365079365,0.787301587301587,0.010122920067,0.00954430888469032
"19",19,-0.0355605444293791,0.297939778129952,0.871632329635499,-0.0754835694765446,-0.071178009142959
"20",20,0.00366915122038346,0.344287949921753,0.791862284820031,0.0484473834812363,0.0456930193719873
"21",21,-0.0221834688277384,0.312401883830455,0.839874411302983,0.00191127269531644,0.00180227576017265
"22",22,-0.0574106051492986,0.3024,0.8192,0.0536469782335075,0.0505968102977475
"23",23,-0.017563288065124,0.3296,0.8304,-0.0728913763443791,-0.0687296473544002
"24",24,0.0263157894736841,0.34775641025641,0.807692307692308,0.0304425629290361,0.0287018521196271
"25",25,0.0262627094224674,0.338118022328549,0.821371610845295,0.0159445655307735,0.0150357677114789
"26",26,-0.0412154300545959,0.309748427672956,0.845911949685535,-0.0620310349655413,-0.0584849206285994
"27",27,-0.0186658387985564,0.328,0.816,-0.0249762720546868,-0.0235508903350781
"28",28,-0.0470014251996412,0.309148264984227,0.824921135646688,-0.0184477636875456,-0.0173937692425959
"29",29,0.0182299462712906,0.351612903225806,0.782258064516129,0.0572437652501374,0.0539807959195559
"30",30,0.00624358042216285,0.342902711323764,0.805422647527911,0.00425557937628387,0.00401308297469086
