"","sim","mean_kappa","mean_accuracy","mean_mae","mean_rho","mean_tau"
"1",1,0.0202576578230668,0.362776025236593,0.790220820189274,0.00264596233343236,0.00249587683118758
"2",2,-3.72889445732568e-06,0.339089481946625,0.824175824175824,-0.00771574143340067,-0.00727475307890623
"3",3,-0.00252269864841997,0.351014040561622,0.798751950078003,-0.0134429701902827,-0.0126807185034495
"4",4,0.0298658992637606,0.339116719242902,0.832807570977918,0.058339805218473,0.0550762741354406
"5",5,-0.00520595218782726,0.334375,0.8265625,-0.00413232620284406,-0.0038977392554797
"6",6,-0.0279998271615606,0.309486780715397,0.870917573872473,-0.0581879334634494,-0.0548826407861207
"7",7,0.00800865956543938,0.332814930015552,0.852255054432348,-0.0419950253454171,-0.0396158316096965
"8",8,-0.0180647036032545,0.326530612244898,0.841444270015699,-0.0503737631488682,-0.0474954488574507
"9",9,0.027579900254359,0.35828025477707,0.788216560509554,0.0653658540318842,0.0616323005135862
"10",10,0.00345809601301878,0.352112676056338,0.791862284820031,0.0182409879701407,0.0172035363315253
"11",11,-0.0170747897920047,0.313880126182965,0.847003154574132,0.0320171639541375,0.0302059550321311
"12",12,-0.0203760101314679,0.326498422712934,0.83596214511041,-0.0274964391130546,-0.0259268224907699
"13",13,-0.00823276475567642,0.313099041533546,0.87220447284345,-0.036198945395031,-0.0341365877082218
"14",14,0.00215192119975164,0.336990595611285,0.818181818181818,0.0290363013012966,0.0273770358248047
"15",15,0.0117597277159415,0.346333853354134,0.81591263650546,0.00583225150478965,0.00549925725716619
"16",16,-0.00129046779457546,0.33596214511041,0.810725552050473,0.0545148168357597,0.0513986859544441
"17",17,0.0125034741770654,0.329704510108865,0.855365474339036,-0.0182024852125804,-0.0171647555518078
"18",18,0.0116458770283696,0.333858267716535,0.82992125984252,0.0466024930111449,0.0439442270121314
"19",19,0.034812196864308,0.36734693877551,0.775510204081633,0.0668528902167062,0.0630391255164109
"20",20,0.0215162099229806,0.355799373040752,0.788401253918495,0.0655801092710159,0.0618801243224706
"21",21,-0.012471854310818,0.34009360374415,0.803432137285491,0.0138627965216681,0.0130755743396458
"22",22,0.0202170817049726,0.352664576802508,0.808777429467085,0.0101115948638557,0.00953379918124314
"23",23,0.0594921610636874,0.370253164556962,0.791139240506329,0.071183757059442,0.0671409507709589
"24",24,-0.00229595017861473,0.3328125,0.825,0.029067942691923,0.0274067710902714
"25",25,-0.0130058179036982,0.325471698113208,0.836477987421384,-0.00576874412622213,-0.00543882916303373
"26",26,0.00430081835015832,0.332278481012658,0.841772151898734,-0.0128338191394565,-0.0121093783733426
"27",27,-0.0292624083831062,0.310344827586207,0.866771159874608,-0.0536758095595179,-0.0506067966643069
"28",28,0.00338414454711317,0.336463223787167,0.829420970266041,-0.00396887113702522,-0.00374199342190791
"29",29,0.00823662810931781,0.334389857369255,0.851030110935024,-0.0425452670540131,-0.0401132059412397
"30",30,-0.00591439168643693,0.330188679245283,0.836477987421384,-0.0134805337689101,-0.0127095809055453
