"","sim","mean_kappa","mean_accuracy","mean_mae","mean_rho","mean_tau"
"1",1,0.00393962806851128,0.335463258785943,0.902555910543131,-0.0608345196781702,-0.0544634272131295
"2",2,-0.00409713499611211,0.32753164556962,0.870253164556962,0.00979563510127129,0.00869604716535764
"3",3,-0.0254630327893578,0.316957210776545,0.870047543581617,-0.0101266960233507,-0.00901918366780504
"4",4,0.0183942284966104,0.34493670886076,0.849683544303797,0.0352502116280854,0.0309276152973908
"5",5,-0.0202656535091341,0.319620253164557,0.892405063291139,-0.00861739289024321,-0.00764122438344588
"6",6,-0.0121226347232844,0.330696202531646,0.860759493670886,-0.0254551935500505,-0.0228599152050877
"7",7,-0.000419876117966652,0.332283464566929,0.864566929133858,0.00283783540008133,0.00249509175272173
"8",8,0.00408548557619693,0.337559429477021,0.849445324881141,0.0303009654280269,0.0268892585459455
"9",9,0.0573464658169177,0.367149758454106,0.822866344605475,0.0519223470337489,0.0461387656039989
"10",10,-0.0104001182951844,0.328571428571429,0.865079365079365,0.00481905843931239,0.00426264870646725
"11",11,0.0369510624475234,0.359300476947536,0.834658187599364,0.00902926351399196,0.00808810447276783
"12",12,0.00433846130261157,0.337060702875399,0.857827476038339,-0.0291342473124221,-0.0261078893863752
"13",13,0.0143430933116014,0.341384863123994,0.855072463768116,0.00181678976857937,0.00188732702343543
"14",14,-0.0202170398033722,0.323248407643312,0.883757961783439,-0.0352328456159023,-0.0313128084597091
"15",15,0.0414107731632741,0.362776025236593,0.845425867507886,-0.00906546591150571,-0.00814700313475419
"16",16,-0.00240190322236282,0.335453100158982,0.868044515103339,-0.0427413084754956,-0.0385780045621576
"17",17,0.00446302984223538,0.335987261146497,0.864649681528662,-0.0053562643072615,-0.00480140969096496
"18",18,0.0123522239304458,0.342857142857143,0.855555555555556,-0.00779578191021086,-0.00696791883509321
"19",19,0.0372876400113959,0.354992076069731,0.8256735340729,0.040612430375482,0.0369636092388924
"20",20,-0.0399719729071436,0.312989045383412,0.860719874804382,-0.0160780337386306,-0.0142669989407351
"21",21,0.0148461606930928,0.345368916797488,0.82574568288854,0.0280346542361933,0.0248651099425746
"22",22,0.0044453573726273,0.3424,0.8432,-0.027619712015588,-0.0247305229187967
"23",23,0.010420679559288,0.3424,0.8608,-0.0255079934231341,-0.0228164684295374
"24",24,-0.0119490604848961,0.325320512820513,0.873397435897436,-0.0197108811915846,-0.0174687391168686
"25",25,0.00183629838894397,0.334928229665072,0.854864433811802,0.0229739955155151,0.020602607962594
"26",26,0.0458323121142577,0.364779874213836,0.830188679245283,0.0239830777733895,0.0212899781616389
"27",27,-0.032924388492506,0.309904153354633,0.89776357827476,-0.0586372203336753,-0.052112892200238
"28",28,0.00178017128538843,0.33596214511041,0.856466876971609,0.00274699701883604,0.00238959676389112
"29",29,0.0242504876392765,0.353225806451613,0.825806451612903,0.0273072835764844,0.024486207206836
"30",30,-0.0341058154787932,0.314194577352472,0.881977671451356,-0.0386461580101685,-0.0343032014348536
