"","sim","mean_kappa","mean_accuracy","mean_mae","mean_rho","mean_tau"
"1",1,-0.0169129945753904,0.323920265780731,0.875415282392027,0.0369224004493659,0.032804181768264
"2",2,0.0824673966106423,0.391156462585034,0.828231292517007,0.0920654193378851,0.0828467501263972
"3",3,0.0161009716386555,0.342715231788079,0.877483443708609,0.0167534746685091,0.0149347859980182
"4",4,0.00404360803789346,0.33389544688027,0.873524451939292,0.015493160314412,0.0137822753559184
"5",5,0.00318254052336054,0.333333333333333,0.887205387205387,0.0115383856375641,0.010290321567071
"6",6,-0.000881249658808187,0.332258064516129,0.883870967741936,-0.0169562822084551,-0.0148950818900484
"7",7,-0.00191030887571955,0.328836424957841,0.888701517706577,0.0347897780345887,0.0308991968822585
"8",8,0.00311334880110625,0.336134453781513,0.899159663865546,-0.000878537295233432,-0.00076355313025003
"9",9,-0.00326448477818631,0.330479452054795,0.875,0.00766050838222379,0.0068752412493615
"10",10,0.00127427650264844,0.331730769230769,0.915064102564103,-0.0195886248609109,-0.0174573971977898
"11",11,0.026550852710714,0.350162866449511,0.868078175895766,0.0134142705621242,0.0119810638143686
"12",12,-0.000789171828400948,0.330998248686515,0.914185639229422,-0.0275271380093624,-0.0248759680357015
"13",13,0.0130375593409661,0.341296928327645,0.901023890784983,0.0234183712997676,0.0208915224308648
"14",14,-0.0023853743981551,0.332191780821918,0.900684931506849,-0.00431209098584387,-0.00386147206861997
"15",15,-0.0149645520237999,0.323777403035413,0.895446880269814,0.0248508639274008,0.0218217219532821
"16",16,-0.0690424582430192,0.287456445993031,0.970383275261324,-0.0949252816575795,-0.083967624693991
"17",17,-0.0515485220805386,0.298305084745763,0.955932203389831,-0.0983760109912882,-0.0875978479067395
"18",18,0.0160919161009889,0.346026490066225,0.852649006622517,0.0284372982905018,0.0254623840615892
"19",19,-0.0191593279931008,0.319467554076539,0.920133111480865,-0.0440265551583104,-0.0394341134404042
"20",20,-0.0237752929783323,0.31986531986532,0.895622895622896,0.0260934060051016,0.0229385946880785
"21",21,0.0462229894636586,0.366386554621849,0.815126050420168,0.105763166328676,0.0938708315619208
"22",22,0.021427976119979,0.345890410958904,0.863013698630137,0.0262232591593527,0.0232055685956697
"23",23,0.0162866449511401,0.346026490066225,0.894039735099338,0.00310313741210522,0.00294693964423559
"24",24,0.0210631620780859,0.347294938917976,0.891797556719023,-0.0096494865812378,-0.00866058971273174
"25",25,0.00625625291802831,0.34020618556701,0.831615120274914,0.0521509752875735,0.0462055265878953
"26",26,-0.000704132012326468,0.331114808652246,0.908485856905158,-0.017228573255332,-0.0154180644127429
"27",27,-0.000887490419137527,0.329289428076256,0.883882149046794,-0.0218879311883913,-0.0195392468979302
"28",28,-0.0296588173260467,0.316309719934102,0.947281713344316,-0.0345522681550568,-0.0307174072686075
"29",29,-0.0137517864858577,0.324459234608985,0.935108153078203,-0.0448480241230083,-0.0400173743786408
"30",30,0.0304423587867913,0.354237288135593,0.850847457627119,0.027461832461838,0.024558261569167
