"","sim","mean_kappa","mean_accuracy","mean_mae","mean_rho","mean_tau"
"1",1,-0.0279459421652664,0.314009661835749,0.904991948470209,-0.0143574430900458,-0.0128038389308052
"2",2,0.0289017341040462,0.352380952380952,0.86031746031746,0.0375745159577028,0.033552514496443
"3",3,0.00522990766667436,0.335473515248796,0.86677367576244,0.0331606523228408,0.029601681284421
"4",4,0.0250223956514478,0.348726114649682,0.882165605095541,-0.0265606423393156,-0.0236561398484031
"5",5,0.0461738540410133,0.364500792393027,0.852614896988906,-0.00852071946165242,-0.00774440812106316
"6",6,0.0567792573100742,0.371428571428571,0.822222222222222,0.0654574273495009,0.0587288127467001
"7",7,0.00432933721922739,0.334935897435897,0.871794871794872,0.0236415785807517,0.020909604197891
"8",8,0.0221799434910717,0.346581875993641,0.860095389507154,0.0284909887390452,0.0254001923297707
"9",9,0.0638715348632781,0.375404530744337,0.849514563106796,0.0177083866451638,0.0160710160845052
"10",10,0.0396678897285406,0.359746434231379,0.873217115689382,-0.0120646865875797,-0.010802581010392
"11",11,-0.00553580439904833,0.328025477707006,0.890127388535032,-0.0219794331909967,-0.0196462633495127
"12",12,-0.00651747939467899,0.328525641025641,0.897435897435897,-0.00329758904976782,-0.00293662004345523
"13",13,0.0175767757332162,0.344660194174757,0.87378640776699,0.0148733455581994,0.0132362882132074
"14",14,0.0471484487467804,0.362903225806452,0.841935483870968,0.046961621959588,0.0419867526960061
"15",15,0.00825869930223656,0.338632750397456,0.868044515103339,0.032305693510161,0.0286836343787824
"16",16,-0.0075895624729951,0.326465927099842,0.896988906497623,-0.00723762756870533,-0.00647897421687723
"17",17,0.012831290993689,0.343499197431782,0.884430176565008,-0.0204833814173466,-0.0183758678471876
"18",18,0.0190616444822053,0.343402225755167,0.895071542130366,-0.0222322650357662,-0.0199267560960322
"19",19,-0.0272461949807024,0.314696485623003,0.910543130990415,-0.0381622653953863,-0.0338234624930194
"20",20,0.00139579934371648,0.333855799373041,0.863636363636364,0.0385545214546669,0.0339558575935512
"21",21,0.00417310722452817,0.333860759493671,0.897151898734177,-0.0472211308971963,-0.0423817421229916
"22",22,0.0267899570768644,0.35,0.856451612903226,0.0599403497440209,0.0532906271673973
"23",23,0.00504323905585506,0.338735818476499,0.862236628849271,0.0275798619090967,0.0247197585263796
"24",24,0.0333835040297774,0.356340288924559,0.876404494382023,-0.0202643878537892,-0.0179696179195634
"25",25,0.0181586418680108,0.345104333868379,0.87800963081862,-0.00608555125940849,-0.00543869305635592
"26",26,-0.0148362699530692,0.323296354992076,0.919175911251981,-0.0517146726991954,-0.0461511833777794
"27",27,-0.00491239434881854,0.326366559485531,0.916398713826367,-0.0622311240019758,-0.0556752425961511
"28",28,0.0216649293076781,0.347068145800317,0.879556259904913,0.00989422942103497,0.00892702398385222
"29",29,-0.0107490762512596,0.32516339869281,0.913398692810457,-0.0520027272698042,-0.0462863928600016
"30",30,-0.00364806116621402,0.330112721417069,0.896940418679549,-0.00692191806243062,-0.00634834108569774
